iter,f_B,f_S
0,1.2015780566484416e-01,3.0000000000000000e+02
500,8.4672580453515361e-02,4.0800000000000000e+02
1000,6.0758038693225574e-02,4.5500000000000000e+02
1500,4.1366155334408433e-02,5.1200000000000000e+02
2000,2.7093005923172233e-02,5.3200000000000000e+02
2500,1.6720426039557295e-02,5.4400000000000000e+02
3000,9.7935370030710327e-03,5.5000000000000000e+02
3500,5.8940772050745998e-03,5.4900000000000000e+02
4000,4.0758824016983823e-03,5.4500000000000000e+02
4500,3.1483192782654052e-03,5.4500000000000000e+02
5000,2.8541497867546639e-03,5.2400000000000000e+02
5058,2.8413690705637105e-03,5.2200000000000000e+02